NAME,A (au),PER (days),ECC,STAR,RSTAR (Rsun),MSTAR (Msun),MASS (Mjup)
KOI 1863.01,0.2127,33.7888028,0,KOI 1863,1.062,1.122,0.023182941
KOI 1864.01,0.0418,3.215109385,0,KOI 1864,0.934,0.942,0.011749177
KOI 1930.04,0.0893,9.34145925,0,KOI 1930,1.693,1.086,0.011878609
KOI 1793.01,0.0434,3.261759866,0,KOI 1793,0.945,1.023,0.346000667
KOI 210.01,0.1498,20.92735802,0,KOI 210,1.109,1.021,1
KOI 1872.01,0.183,30.5231459,0,KOI 1872,0.79,0.885,1
KOI 1934.01,0.1685,28.78270955,0,KOI 1934,0.745,0.77,0.016099658
KOI 217.01,0.0485,3.905081685,0,KOI 217,0.887,0.997,1
KOI 1803.01,0.0494,4.539297295,0,KOI 1803,0.724,0.783,0.018425248
KOI 1942.01,0.0914,10.84969477,0,KOI 1942,0.778,0.869,0.022598795
KOI 1944.01,0.1031,12.18420006,0,KOI 1944,1.068,0.984,0.021484309
KOI 2023.01,0.1072,13.59051547,0,KOI 2023,0.974,0.887,0.019104771
KOI 1878.01,0.2489,40.80957343,0,KOI 1878,1.3,1.241,0.03760057
KOI 1945.02,0.1314,17.1181036,0,KOI 1945,0.929,1.031,0.006320868
KOI 1946.01,0.0793,8.29482811,0,KOI 1946,0.939,0.967,0.023939314
KOI 2025.01,0.1385,17.84850835,0,KOI 2025,1.465,1.111,0.033987962
KOI 2025.02,0.1786,26.1363443,0,KOI 2025,1.465,1.111,0.024565958
KOI 1816.01,0.079,10.24061136,0,KOI 1816,0.64,0.628,0.051201798
KOI 1884.01,0.1437,23.11707222,0,KOI 1884,0.796,0.739,0.065650474
KOI 1884.02,0.0502,4.77502117,0,KOI 1884,0.796,0.739,0.013031382
KOI 212.01,0.0627,5.69590202,0,KOI 212,0.94,1.013,0.183003578
KOI 1889.02,0.084,9.18189122,0,KOI 1889,0.846,0.938,0.016666598
KOI 2248.04,0.0349,2.64622742,0,KOI 2248,0.787,0.812,0.003035391
KOI 2250.01,0.0371,2.935362067,0,KOI 2250,0.823,0.79,0.030942307
KOI 239.02,0.0467,3.62275506,0,KOI 239,1.216,1.032,0.012274051
KOI 2174.01,0.0602,6.69332825,0,KOI 2174,0.637,0.649,0.019576203
KOI 2174.02,0.1748,33.1362861,0,KOI 2174,0.637,0.649,0.015558127
KOI 2174.03,0.0662,7.72513619,0,KOI 2174,0.637,0.649,0.012890228
KOI 2259.01,0.0984,12.19140405,0,KOI 2259,0.967,0.856,0.019817626
KOI 2343.01,0.1806,29.0726293,0,KOI 2343,1.042,0.928,0.018205865
KOI 2106.01,0.0892,9.75374033,0,KOI 2106,0.899,0.996,0.014069587
KOI 2261.02,0.0641,6.6254781,0,KOI 2261,0.832,0.799,0.002160282
KOI 2263.01,0.1969,29.9685917,0,KOI 2263,1.076,1.13,0.014384153
KOI 2113.01,0.1194,15.94248453,0,KOI 2113,0.806,0.897,0.021894005
KOI 2181.01,0.1017,12.2885046,0,KOI 2181,1.671,0.929,0.03242715
KOI 2272.01,0.0287,1.34145255,0,KOI 2272,2.389,1.754,0.00805538
KOI 2351.01,0.0924,10.27380957,0,KOI 2351,0.899,0.996,0.012681493
KOI 2352.03,0.085,8.2562857,0,KOI 2352,2.188,1.198,0.012363026
KOI 2113.02,0.1006,12.33087921,0,KOI 2113,0.806,0.897,0.018425248
KOI 2117.01,0.1002,13.36019864,0,KOI 2117,0.688,0.768,0.013839186
KOI 2186.01,0.1106,14.97974335,0,KOI 2186,0.853,0.803,0.047578602
KOI 2188.02,0.0693,6.7445683,0,KOI 2188,0.923,0.974,0.001838225
KOI 2189.01,0.1854,33.35859852,0,KOI 2189,0.799,0.763,0.067835187
KOI 2191.01,0.0699,8.84784273,0,KOI 2191,0.552,0.581,0.005153397
KOI 2361.01,0.0655,5.78387049,0,KOI 2361,1.012,1.117,0.015735915
KOI 2120.01,0.0784,8.77425786,0,KOI 2120,0.905,0.832,0.013174204
KOI 2123.01,0.1879,29.4557841,0,KOI 2123,0.949,1.018,0.016861507
KOI 2369.02,0.068,6.3143447,0,KOI 2369,0.969,1.048,0.008694217
KOI 2124.01,0.1997,42.3375799,0,KOI 2124,0.581,0.593,0.011305975
KOI 2125.01,0.1637,23.3593589,0,KOI 2125,1.009,1.069,0.027636435
KOI 2204.01,0.0988,10.86062378,0,KOI 2204,1.496,1.087,0.015916405
KOI 2206.01,0.029,1.834277283,0,KOI 2206,0.958,0.962,0.01240845
KOI 2353.01,0.0559,5.186737262,0,KOI 2353,0.777,0.873,0.019104771
KOI 2354.01,0.0215,1.151244686,0,KOI 2354,0.921,1.003,1
KOI 2357.01,0.0355,2.42088277,0,KOI 2357,1.53,1.017,0.017672412
KOI 2130.01,0.1082,16.85592593,0,KOI 2130,0.587,0.593,0.012820258
KOI 2133.01,0.0709,6.24667547,0,KOI 2133,6.221,1.218,1
KOI 2288.01,0.1989,38.103908,0,KOI 2288,0.771,0.721,0.056990969
KOI 2291.01,0.2348,44.2993483,0,KOI 2291,0.915,0.878,0.022743116
KOI 2363.01,0.037,3.13877646,0,KOI 2363,0.722,0.684,0.002821664
